Target Label, X,Y,Z, Units: Millimeter
Setup-1, 5331.91, -56016.61, 5.26
Setup-2, 6263.01, -47009.45, -3.16
Setup-3, 5920.04, -39238.26, 15.80
Setup-4, 6684.90, -33054.47, 4.50
Setup-5, 6272.26, -24921.25, 30.82
Setup-6, 6785.95, -17491.60, 5.83
Setup-7, 6522.40, -12045.81, 6.32
Setup-8, 5925.05, -5336.62, 19.62
Setup-9, 2176.19, 3961.15, 9.91
Setup-10, 282.40, 10444.92, -11.17
Setup-11, 2291.80, 16047.38, -7.87
Setup-12, 2449.69, 23202.22, -15.86
Setup-13, 8307.84, 20540.96, -16.48
Setup-14, 16016.08, 19478.83, -7.98
Setup-15, 25794.78, 20307.64, -13.43
Setup-16, 29582.85, 13552.12, 1.15
Setup-17, 23744.16, 12497.80, 22.05
Setup-18, 18328.75, 12966.11, -3.52
Setup-19, 11340.84, 9412.28, -21.06
Setup-20, 15652.49, 3946.64, -7.87
Setup-21, 16807.42, -509.93, 0.16
Setup-22, 17872.68, -5706.86, 0.37
Setup-23, 25165.11, -5698.65, -12.88
Setup-24, 21253.33, 3297.79, 6.97
Setup-25, 28673.42, 8162.13, 4.54
Setup-26, 29045.76, 1601.71, 15.08
Setup-27, 29493.07, -9947.68, -21.28
Setup-28, 28225.88, -17181.16, -14.89
Setup-29, 20162.88, -11732.12, -11.62
Setup-30, 12224.20, -16846.21, 25.35
Setup-31, 20848.68, -20501.62, -23.81
Setup-32, 29496.51, -27866.25, -3.57
Setup-33, 18854.38, -28033.92, -3.90
Setup-34, 10733.24, -25516.57, 9.07
Setup-35, 170.55, -29125.85, 5.78
Setup-36, 15978.15, -35599.69, 0.22
Setup-37, 9655.90, -37066.74, 5.10
Setup-38, 23297.04, -32316.18, -21.81
Setup-39, 27484.81, -36224.58, -24.67
Setup-40, 30090.14, -40229.56, -16.60
Setup-41, 25973.32, -43216.76, -31.77
Setup-42, 20116.16, -47147.33, -18.17
Setup-43, 26505.38, -45903.08, -25.94
Setup-44, 30443.88, -51196.90, -8.05
Setup-45, 23390.96, -55417.86, -15.89
Setup-46, 12957.05, -45582.87, 19.14
Setup-47, -39.15, -42605.30, 12.86
Setup-48, -1294.73, -36071.45, 19.81
Setup-49, -11135.93, -36284.61, 25.38
Setup-50, -13877.72, -36372.45, 22.16
Setup-51, -14923.85, -45240.46, 16.55
Setup-52, -16359.21, -53552.60, 20.87
Setup-53, -19087.48, -48008.54, 3.64
Setup-54, -28688.76, -47685.17, 12.93
Setup-55, -12706.49, -59335.50, 9.28
Setup-56, -1691.80, -60436.33, 24.47
Setup-57, -2760.94, -54134.29, 11.98
Setup-58, -11759.22, -53936.38, 38.15
Setup-59, -33981.88, -47229.58, -11.26
Setup-60, -33305.57, -39260.18, 5.63
Setup-61, -30639.26, -36007.56, 7.13
Setup-62, -24597.30, -36579.05, 30.35
Setup-63, -22634.51, -40954.76, 35.30
Setup-64, -41833.87, -36178.48, -6.30
Setup-65, -46229.77, -31592.87, -32.30
Setup-66, -47846.85, -22933.94, -22.28
Setup-67, -49048.97, -16297.70, -38.99
Setup-68, -46663.88, -10245.89, 14.16
Setup-69, -40012.70, -8831.29, -3.33
Setup-70, -29130.69, -10381.74, 16.79
Setup-71, -30444.54, -62.65, 27.91
Setup-72, -19788.83, -4633.22, 6.32
Setup-73, -18859.74, -17101.32, 19.79
Setup-74, -15268.24, -26105.68, 46.54
Setup-75, -24004.53, -29083.72, 31.74
Setup-76, -14240.62, -7622.26, 55.55
Setup-77, -13609.74, -2355.18, 51.29
Setup-78, -22832.57, 10873.44, 19.99
Setup-79, -31037.75, 11540.27, 1.60
Setup-80, -41812.51, 441.44, 0.66
Setup-81, -51493.80, -2095.10, 11.69
Setup-82, -30973.27, -24290.95, 12.04
Setup-83, -40204.91, -27230.43, 4.80
